PRN,COSPAR_ID,NORAD_ID,SYYYY,SMM,SDD,SHH,SMM,SSS,EYYYY,EMM,EDD,EHH,EMM,ESS
13,1984-059A,15039,1984,06,13,00,00,00,1994,06,21,00,00,00
13,1997-035A,24876,1997,07,23,00,00,00,,,,,,  
14,1989-013A,19802,1989,02,14,00,00,00,2000,04,16,00,00,00
14,2000-071A,26605,2000,11,10,00,00,00,2020,11,04,23,59,59
14,2020-078A,46826,2020,11,05,00,00,00,,,,,,  
15,1990-088A,20830,1990,10,01,00,00,00,2007,03,14,00,00,00
15,2007-047A,32260,2007,10,17,00,00,00,,,,,,  
16,1989-064A,20185,1989,08,18,00,00,00,2000,10,14,00,00,00
16,2003-005A,27663,2003,01,29,00,00,00,,,,,,  
17,1989-097A,20361,1989,12,11,00,00,00,2005,02,24,00,00,00
17,2005-038A,28874,2005,09,26,00,00,00,,,,,,  
18,1990-008A,20452,1990,01,24,00,00,00,2000,08,19,00,00,00
18,2001-004A,26690,2001,01,30,00,00,00,2018,01,23,23,59,59
18,1993-068A,22877,2018,01,24,00,00,00,2020,03,09,23,59,59
18,2019-056A,44506,2020,03,13,00,00,00,,,,,,  
19,1989-085A,20302,1989,10,21,00,00,00,2001,09,12,00,00,00
19,2004-009A,28190,2004,03,20,00,00,00,,,,,,  
20,1990-025A,20533,1990,03,26,00,00,00,1996,12,14,00,00,00
20,2000-025A,26360,2000,05,11,00,00,00,,,,,,  
21,1990-068A,20724,1990,08,02,00,00,00,2003,01,28,00,00,00
21,2003-010A,27704,2003,03,31,00,00,00,,,,,,  
22,1993-007A,22446,1993,02,03,00,00,00,2003,08,07,00,00,00
22,2003-058A,28129,2003,12,21,00,00,00,,,,,,  
23,1990-103A,20959,1990,11,26,00,00,00,2004,02,17,00,00,00
23,2004-023A,28361,2004,06,23,00,00,00,2020,06,09,23,59,59
23,2020-041A,45854,2020,07,14,00,00,00,,,,,,  
24,1991-047A,21552,1991,07,04,00,00,00,2011,10,01,00,00,00
24,2009-014A,34661,2012,02,02,00,00,00,2012,03,14,23,59,59
24,1992-079A,22231,2012,03,15,00,00,00,2012,04,25,23,59,59
24,1993-032A,22657,2012,04,26,00,00,00,2012,05,31,00,00,00
24,2009-014A,34661,2012,08,09,00,00,00,2012,08,23,00,00,00
24,2012-053A,38833,2012,10,04,00,00,00,,,,,,  
25,1992-009A,21890,1992,02,23,00,00,00,2010,02,08,23,59,59
25,1993-054A,22779,2010,02,09,00,00,00,2010,05,27,23,59,59
25,2010-022A,36585,2010,05,28,00,00,00,,,,,,  
26,1992-039A,22014,1992,07,07,00,00,00,2015,01,06,00,00,00
26,1992-079A,22231,2015,02,05,00,00,00,2015,02,25,00,00,00
26,1992-058A,22108,2015,02,27,00,00,00,2015,03,17,00,00,00
26,2015-013A,40534,2015,03,25,00,00,00,,,,,,  
27,1992-058A,22108,1992,09,09,00,00,00,2012,10,17,23,59,59
27,2009-014A,34661,2012,10,18,00,00,00,2013,05,10,00,00,00
27,2013-023A,39166,2013,05,15,00,00,00,,,,,,  
28,1992-019A,21930,1992,04,10,00,00,00,1997,08,16,00,00,00
28,2000-040A,26407,2000,07,16,00,00,00,,,,,,  
29,1992-089A,22275,1992,12,18,00,00,00,2007,10,24,00,00,00
29,2007-062A,32384,2007,12,20,00,00,00,,,,,,  
30,1996-056A,24320,1996,09,12,00,00,00,2011,08,04,23,59,59
30,1993-054A,22779,2011,08,05,00,00,00,2013,05,07,00,00,00
30,2009-014A,34661,2013,05,10,00,00,00,2013,08,21,23,59,59
30,1992-079A,22231,2013,08,22,00,00,00,2013,09,16,23,59,59
30,1993-032A,22657,2013,09,19,00,00,00,2013,10,08,00,00,00
30,1992-058A,22108,2013,12,03,00,00,00,2013,12,17,23,59,59
30,2009-014A,34661,2013,12,19,00,00,00,2014,02,10,23,59,59
30,2014-008A,39533,2014,02,21,00,00,00,,,,,,  
31,1993-017A,22581,1993,03,30,00,00,00,2005,10,25,00,00,00
31,2006-042A,29486,2006,09,25,00,00,00,,,,,,  
32,1990-103A,20959,2006,12,02,00,00,00,2016,01,25,23,59,59
32,2016-007A,41328,2016,02,05,00,00,00,,,,,,  
